fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 20, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 20, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: -20, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 20, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 1, Motorlar: [1500, 1500, 1500, 1500, 1500, 1500]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 20, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
fwd_jetson: 0, Jetson: True, Failsafe: 0, Motorlar: [0, 0, 0, 0, 0, 0]
